MSZoning,Neighborhood,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,GarageCars,GarageArea,Fireplaces,TotalBsmtSF,SalePrice
RM,OldTown,60.0,9600,7,7,1925,1990,1641,1,3,Ex,2,546,1,728,178000
RM,BrkSide,52.0,6240,5,7,1930,1992,1573,2,3,TA,2,360,1,1078,162900
RL,NWAmes,,14115,7,5,1980,1980,1472,2,3,TA,2,588,2,1372,187500
RL,Mitchel,75.0,12508,6,7,1940,1985,1750,2,4,TA,1,423,0,983,160000
RL,CollgCr,68.0,10769,8,5,2007,2007,1768,2,3,Gd,2,578,0,866,212000
RL,NAmes,72.0,9000,6,5,1956,1956,1196,1,2,TA,1,297,1,1196,139000
RL,Edwards,67.0,8777,4,5,1949,2003,1126,2,2,Gd,2,520,0,0,108000
RL,Edwards,,11500,4,3,1957,1957,845,1,3,TA,1,290,0,0,84000
RL,Mitchel,,11075,5,4,1969,1969,1968,2,4,TA,2,530,1,784,172000
RL,Edwards,60.0,9738,5,7,1924,1950,1221,1,4,TA,1,392,0,784,104900
RM,OldTown,60.0,3600,6,7,1910,1993,1368,1,3,TA,1,216,0,684,114504
RM,BrDale,21.0,1869,6,6,1970,1970,987,1,2,TA,1,280,0,483,106000
RL,SawyerW,114.0,10357,7,5,1990,1991,1442,2,3,Gd,2,719,1,910,179900
RL,Edwards,67.0,8877,4,5,1951,1951,1220,1,2,TA,2,396,0,836,102000
RL,CollgCr,63.0,8487,7,5,2004,2004,1500,2,3,Gd,2,570,0,1500,190000
RL,NoRidge,,16545,8,5,1998,1998,2450,2,3,Gd,3,1069,1,1284,340000
RL,NAmes,,19900,7,5,1970,1989,2207,2,3,TA,2,576,1,1947,180000
RL,CollgCr,64.0,6762,7,5,2006,2006,1208,2,2,Gd,2,632,0,1187,206000
RM,OldTown,81.0,12150,5,5,1954,1954,1795,2,4,TA,1,352,0,1050,131500
RL,Edwards,42.0,7711,4,3,1977,1977,1440,2,4,TA,0,0,0,1440,150000
RL,Edwards,83.0,10420,6,5,2009,2009,1212,2,3,Gd,2,460,0,1212,186000
RM,OldTown,,5700,7,7,1926,1950,1111,1,2,TA,1,288,1,572,116900
RL,NWAmes,,8963,8,9,1976,1996,2715,3,4,Gd,2,831,2,1142,299800
RL,CollgCr,57.0,8924,7,5,1998,1999,1724,2,3,Gd,2,527,0,880,188000
RL,NWAmes,,9790,6,5,1963,1963,1328,1,3,TA,2,528,2,1328,143000
RL,NAmes,70.0,8400,5,5,1968,1968,1052,1,3,TA,1,288,0,1052,138500
RL,NoRidge,121.0,16059,8,5,1991,1992,2417,2,4,Gd,2,462,1,1288,260000
RL,Edwards,60.0,8190,4,6,1954,1954,948,1,3,TA,1,280,1,948,119000
RL,BrkSide,60.0,11414,7,8,1910,1993,2019,1,3,Gd,2,532,0,728,167500
RL,BrkSide,51.0,5900,4,7,1923,1958,869,1,2,Fa,0,0,0,440,85500
RL,NridgHt,34.0,4590,8,5,2006,2006,1554,2,2,Gd,2,627,1,1554,209500
RL,NAmes,85.0,11075,6,5,1969,1969,2112,2,4,TA,2,576,2,952,206900
RL,Sawyer,,25339,5,7,1918,2007,1416,2,3,Gd,2,576,0,816,112000
RL,Gilbert,62.0,7415,6,5,2004,2004,1593,2,3,TA,2,398,1,839,193000
RL,NWAmes,78.0,9360,6,7,1972,2006,1381,1,3,Gd,2,676,1,1161,197500
RL,NAmes,80.0,9600,6,6,1958,1988,1632,2,3,TA,1,338,1,1240,139000
RL,Crawfor,50.0,6305,5,7,1938,1950,954,1,2,Fa,1,240,1,920,119750
RL,Edwards,64.0,7301,7,5,2003,2003,1922,3,4,Gd,2,672,1,0,198500
RL,Sawyer,71.0,7064,5,6,1977,1977,980,1,3,TA,2,484,0,980,135000
RL,CollgCr,68.0,11250,7,5,2001,2002,1786,2,3,Gd,2,608,1,920,223500
RL,Somerst,75.0,10084,8,5,2004,2005,1694,2,3,Gd,2,636,1,1686,307000
RL,NAmes,50.0,8000,6,6,1948,2002,972,1,2,TA,1,240,1,972,132000
RL,Sawyer,,14175,5,6,1956,1987,1437,1,3,TA,2,576,1,1188,168000
RL,CollgCr,,9240,8,5,2001,2002,2263,2,3,Gd,2,905,1,1055,287000
RL,NWAmes,80.0,11584,7,6,1979,1979,1725,2,3,TA,2,550,1,539,197000
RL,NAmes,72.0,10011,5,6,1957,1996,1236,1,2,Gd,1,447,1,1070,134450
RL,NAmes,70.0,7560,5,5,1959,1959,1040,1,3,TA,1,286,0,1040,133700
RL,NridgHt,98.0,11478,8,5,2007,2008,1704,2,3,Gd,3,772,1,1704,306000
RL,NWAmes,104.0,11361,6,5,1976,1976,1523,2,3,TA,2,478,1,1193,180000
FV,Somerst,81.0,11216,8,5,2006,2006,1489,2,3,Gd,2,776,1,1489,232600
RL,Blmngtn,51.0,3635,7,5,2007,2007,1569,2,1,Gd,3,660,1,1386,175900
RL,CollgCr,70.0,9100,7,5,2001,2001,1212,2,3,Gd,2,573,0,1212,178000
RL,CollgCr,67.0,9808,7,5,2002,2002,1573,2,3,Gd,2,544,0,1573,227000
RL,NWAmes,80.0,10400,6,5,1972,1972,1790,1,4,TA,2,484,1,732,165150
RL,BrkSide,144.0,21384,5,6,1923,2004,1576,1,3,Gd,2,528,1,1324,223500
FV,Somerst,64.0,8791,6,5,2003,2003,1728,2,3,Gd,2,673,0,864,207500
RL,NridgHt,110.0,14230,8,5,2007,2007,1600,2,3,Gd,3,890,1,1566,256300
RL,StoneBr,86.0,14157,9,5,2005,2006,1922,2,3,Gd,3,676,1,1922,377426
RL,Timber,83.0,13159,7,5,2009,2009,1692,2,3,Gd,2,650,0,846,224500
FV,Somerst,84.0,11096,8,5,2006,2006,1656,2,3,Gd,3,826,0,1656,249700
RM,OldTown,60.0,10800,4,7,1885,1995,1047,1,2,TA,1,273,0,641,100000
RL,NridgHt,56.0,20431,9,5,2005,2006,2728,2,4,Ex,3,706,2,1848,437154
RL,NAmes,100.0,10175,6,5,1964,1964,1425,2,3,TA,2,576,1,1425,180500
RL,BrkSide,,8854,6,6,1916,1950,952,1,2,Fa,1,192,1,952,121000
RL,CollgCr,43.0,13568,5,5,1995,1995,990,1,3,TA,2,576,0,990,156000
RL,ClearCr,,21453,6,5,1969,1969,988,1,1,TA,2,540,2,938,180000
RH,SawyerW,,8900,4,4,1966,1966,1056,1,2,TA,1,384,0,1056,107000
RL,Gilbert,42.0,14892,9,5,2006,2007,1746,2,3,Ex,3,758,2,1746,377500
RL,Gilbert,74.0,10141,7,5,1998,1998,1718,2,3,TA,2,427,1,832,185000
RL,Sawyer,70.0,12886,5,6,1963,1999,1464,2,3,TA,2,480,1,520,175000
RL,CollgCr,68.0,8935,7,5,2002,2002,1660,2,3,Gd,2,493,0,831,195000
RL,NridgHt,61.0,7658,9,5,2005,2005,1752,2,2,Ex,2,576,1,1752,319900
RL,Sawyer,,18890,5,5,1977,1977,2620,2,4,TA,2,600,1,1361,190000
RL,Edwards,130.0,40094,10,5,2007,2008,4676,3,3,Ex,3,884,1,3138,184750
RM,BrkSide,50.0,6130,5,6,1924,1950,784,1,2,Gd,0,0,0,784,109500
RL,Sawyer,85.0,6970,4,5,1961,1961,1120,1,3,Fa,2,544,0,1040,129000
RL,Sawyer,75.0,11235,4,5,1963,1979,1382,1,3,TA,2,459,1,1051,148000
RL,Sawyer,,11616,6,5,1978,1978,1386,2,3,TA,2,440,1,672,158900
RL,BrkSide,50.0,5000,1,3,1946,1950,334,1,1,Fa,0,0,0,0,39300
FV,Somerst,30.0,3182,7,5,2004,2005,1200,2,2,Gd,2,480,0,600,151000
RM,Blmngtn,,3072,7,5,2004,2004,1414,2,2,Gd,2,398,1,1375,178740
RL,NAmes,65.0,8944,5,5,1967,1967,1584,2,4,TA,3,792,0,1584,124000
RL,Crawfor,,11435,8,7,1929,1950,1517,1,3,Gd,2,400,2,792,230000
RL,NWAmes,80.0,11040,6,7,1971,2004,1258,2,3,Gd,2,528,0,1258,145000
RL,Sawyer,,6173,5,6,1967,1967,902,1,3,TA,1,288,0,876,125500
RL,SawyerW,63.0,13072,6,5,2004,2004,1158,1,3,Gd,2,576,0,1158,158000
RL,Crawfor,80.0,13360,5,7,1921,2006,964,1,2,TA,2,432,0,876,163500
RL,NAmes,,18450,6,5,1965,1979,2380,2,3,TA,2,596,1,1021,129000
RL,CollgCr,64.0,7314,7,5,2007,2007,1232,2,2,Gd,2,632,0,1232,194500
RL,CollgCr,60.0,7180,5,7,1972,1972,864,1,3,TA,1,352,0,864,127000
RL,SawyerW,82.0,11287,7,6,1989,1989,1982,2,3,Gd,2,575,1,807,228500
RL,NoRidge,78.0,12011,8,5,1998,1998,1924,2,3,Gd,2,592,1,1086,280000
RL,Crawfor,53.0,10918,7,9,1926,2004,2080,1,3,Gd,1,282,2,1276,234000
RL,Gilbert,62.0,7917,6,5,1999,2000,1647,2,3,TA,2,460,1,953,175000
RL,SawyerW,50.0,8012,6,5,1993,1994,1617,2,2,Gd,2,533,1,1604,193000
RL,Edwards,60.0,9060,5,6,1957,2006,1340,1,3,TA,1,252,1,0,120000
RL,NridgHt,83.0,10159,9,5,2009,2010,1940,2,3,Ex,3,606,1,1930,395192
RL,Edwards,75.0,9525,6,4,1954,1972,1855,2,4,TA,1,325,0,994,136900
RL,SawyerW,,9180,5,7,1983,1983,884,1,2,Gd,2,504,0,840,144000
RL,NridgHt,36.0,2628,7,5,2003,2003,1626,2,2,Gd,2,474,0,764,175500
RM,OldTown,50.0,3500,5,7,1947,1950,1284,1,2,TA,1,240,0,720,110000
RL,CollgCr,,11250,8,5,2002,2002,2290,2,4,Gd,2,779,1,1128,255900
RM,IDOTRR,110.0,8472,5,5,1963,1963,816,1,2,TA,2,516,0,816,110000
RL,NWAmes,,13837,7,5,1988,1988,2183,2,4,Gd,3,786,0,1204,229000
RM,OldTown,98.0,8820,5,6,1890,1996,1869,1,2,TA,2,456,0,1088,124900
RL,Crawfor,53.0,7128,7,5,1941,1950,1646,2,4,TA,1,240,2,918,164000
RL,SawyerW,88.0,10994,8,5,2005,2006,1844,2,2,Gd,2,620,1,1844,257000
RL,Timber,89.0,10991,8,5,2007,2007,1571,2,3,Gd,3,722,1,1571,239000
RM,OldTown,63.0,11426,7,5,2003,2003,2082,2,3,Gd,2,484,0,1362,200000
RL,Mitchel,82.0,11070,7,5,1988,1989,1959,3,5,TA,3,766,0,1907,171000
RL,NridgHt,93.0,11999,8,5,2003,2004,2374,2,4,Ex,3,656,1,1181,285000
RL,NAmes,100.0,13000,6,6,1968,1968,2142,2,4,Gd,1,509,1,896,193500
FV,Somerst,30.0,3180,7,5,2005,2005,1200,2,2,Gd,2,480,0,600,144152
FV,Somerst,75.0,9375,8,5,2003,2004,1992,2,3,Gd,2,648,1,1053,250000
RL,NoRidge,,11000,8,5,2000,2000,2285,2,4,Gd,3,648,1,969,248000
RL,ClearCr,,115149,7,5,1971,2002,1824,2,2,Gd,2,739,2,1643,302000
RL,NridgHt,98.0,16033,9,5,2004,2005,1850,2,3,Gd,3,772,1,1833,326000
RL,Edwards,62.0,10106,5,7,1940,1999,1355,2,4,TA,0,0,0,644,127500
RL,CollgCr,72.0,11317,7,5,2003,2003,1668,2,3,Gd,2,500,0,840,180000
RM,IDOTRR,,7920,6,7,1920,1950,1406,1,3,Fa,0,0,0,319,89500
RL,NAmes,137.0,16492,6,6,1966,2002,1888,2,2,Gd,2,578,1,1517,190000
RL,StoneBr,40.0,4671,8,5,1988,1989,1228,2,2,Gd,2,472,1,1228,189000
RL,Gilbert,59.0,9042,6,5,1998,1998,1638,2,3,TA,2,472,2,943,192000
RL,Edwards,73.0,10921,4,5,1965,1965,960,1,3,TA,1,432,0,960,94750
RL,Edwards,86.0,13286,9,5,2007,2008,1698,2,3,Ex,3,768,1,1698,320000
RL,NAmes,80.0,9920,5,5,1954,1954,1063,1,3,TA,1,280,0,1056,128000
RL,Sawyer,65.0,6993,5,7,1961,1994,1236,1,3,TA,1,288,1,912,135000
RL,SawyerW,64.0,7018,5,5,1979,1979,1535,2,4,TA,2,410,0,0,118964
RM,MeadowV,21.0,1890,4,7,1972,1972,630,1,1,TA,0,0,0,630,81000
RM,MeadowV,21.0,2217,4,4,1970,1970,1092,1,3,TA,1,286,0,546,88000
RL,NridgHt,108.0,13173,9,5,2006,2007,1652,2,2,Ex,2,840,2,1652,325000
RL,NAmes,75.0,7875,5,6,1961,1961,1144,1,3,TA,2,456,0,1144,139950
RL,Somerst,75.0,9986,8,5,2006,2007,1795,2,2,Gd,3,895,1,1795,147000
RL,CollgCr,118.0,13704,7,5,2001,2002,1541,2,3,Gd,3,843,1,1541,205000
RL,NAmes,70.0,7910,5,5,1960,1960,1507,2,4,TA,1,404,0,1075,127000
FV,Somerst,24.0,2645,8,5,1999,2000,1441,2,2,Gd,2,492,0,776,174000
RL,CollgCr,93.0,9382,7,5,1999,2000,1479,2,3,Gd,2,577,0,1468,191000
RM,BrDale,21.0,1680,6,3,1971,1971,987,1,2,TA,1,264,0,483,89500
RL,Edwards,50.0,9340,4,6,1941,1950,672,1,2,TA,1,234,0,672,113000
RL,SWISU,60.0,8400,5,8,1939,1997,2192,2,4,Gd,1,240,1,720,179500
RL,CollgCr,80.0,10386,8,5,2004,2005,2000,2,3,Gd,3,888,0,2000,305900
RL,Edwards,74.0,8536,5,5,2006,2007,1125,1,2,TA,2,430,0,1125,155000
RL,Edwards,77.0,8335,5,5,1954,1954,1124,1,3,TA,0,0,1,0,93000
RL,Crawfor,110.0,14442,6,7,1957,2004,1839,2,3,Gd,2,416,2,1477,257500
RL,ClearCr,,159000,6,7,1958,2006,2144,2,4,Gd,2,389,2,1444,277000
RL,ClearCr,80.0,14000,7,5,1996,1997,2260,2,3,Gd,2,533,0,1306,328000
RL,NAmes,100.0,9500,6,6,1964,1978,1977,1,4,TA,2,540,1,816,165000
RL,Mitchel,69.0,7599,4,6,1982,2006,845,1,2,TA,2,360,0,845,129500
RL,CollgCr,69.0,9337,6,5,1997,1997,1786,2,3,Gd,2,684,0,824,204750
RL,Crawfor,79.0,11526,6,7,1922,1994,2555,2,3,TA,2,672,1,588,191000
RL,NAmes,70.0,10552,5,5,1959,1959,1700,1,4,Gd,2,447,1,1398,165500
RL,Gilbert,58.0,10852,6,5,2000,2000,1671,2,3,TA,2,472,1,959,173000
RM,IDOTRR,50.0,8600,6,6,1937,1950,1376,2,3,TA,1,198,1,780,119500
RL,Edwards,73.0,9855,6,5,1956,1956,1689,1,3,TA,2,480,1,1436,127500
RM,OldTown,60.0,10800,7,8,1890,1998,2554,1,3,TA,2,704,0,718,159500
RM,OldTown,100.0,12665,5,8,1915,1950,1416,1,4,TA,3,720,1,876,153900
RL,NAmes,73.0,7100,5,7,1957,1957,816,1,2,TA,1,308,0,816,129900
RL,NWAmes,80.0,10400,7,5,1976,1976,1370,2,3,TA,2,479,1,1090,152000
RL,NWAmes,,11717,6,6,1970,1970,1442,2,2,TA,2,615,1,1442,185000
RM,BrkSide,50.0,8635,5,5,1948,2001,1285,1,2,TA,1,240,0,672,127000
RL,Gilbert,,8530,7,5,1995,1996,1474,2,3,TA,2,400,1,384,168500
RL,NoRidge,92.0,9920,7,5,1996,1997,2013,2,3,TA,2,455,1,1117,269790
RL,Somerst,78.0,10206,8,5,2007,2007,1563,2,3,Gd,3,758,1,1563,245000
RL,ClearCr,,53227,4,6,1954,1994,1663,1,2,Gd,2,529,2,1364,256000
RL,NAmes,60.0,10800,4,4,1949,1950,1192,1,4,TA,0,0,0,720,135000
RM,OldTown,60.0,9600,4,2,1900,1950,1774,2,4,TA,3,779,0,1095,87000
RL,CollgCr,73.0,8760,7,5,2006,2006,1962,2,3,Gd,3,868,0,1391,239799
RL,Gilbert,73.0,8993,7,5,2007,2007,1302,2,3,Gd,2,436,0,1302,176485
RM,OldTown,40.0,4400,6,8,1920,1950,1118,1,2,TA,2,440,0,648,116000
FV,Somerst,85.0,9187,9,5,2009,2009,1766,2,2,Ex,3,478,1,1766,370878
RL,Gilbert,63.0,7875,7,5,1995,1996,1253,2,3,TA,2,402,1,1237,176000
RL,SawyerW,81.0,9672,6,5,1984,1985,1097,2,3,TA,2,480,0,1040,152000
RL,NAmes,,12537,5,6,1971,2008,1078,1,3,TA,2,500,1,1078,149900
RL,Gilbert,,10364,6,5,1995,1996,1572,2,3,TA,2,373,1,806,168000
RL,ClearCr,,23595,7,6,1979,1979,1524,0,0,Gd,2,586,1,1332,260000
RL,Gilbert,,8755,7,5,1999,1999,2060,2,3,Gd,2,390,1,992,214000
RL,Timber,,14375,6,6,1958,1958,1344,1,3,Gd,2,525,1,819,137500
RM,IDOTRR,,7758,7,4,1931,1950,1818,1,4,TA,1,240,2,1040,169500
RL,Sawyer,61.0,7943,4,5,1961,1961,1029,1,3,TA,1,261,0,1029,118500
RM,MeadowV,42.0,3964,6,4,1973,1973,2521,2,5,TA,2,576,1,942,151400
RL,CollgCr,68.0,8846,6,5,2005,2006,1500,2,3,Gd,2,564,0,750,173900
RL,NAmes,95.0,15865,8,6,1970,1970,2217,2,4,Gd,2,621,1,2217,268000
RL,NridgHt,44.0,6442,8,5,2006,2006,1370,2,2,Gd,2,484,1,1370,202500
FV,Somerst,60.0,7200,6,5,2006,2006,1262,2,2,Gd,2,572,0,1262,185000
RL,Timber,80.0,11316,7,5,2002,2003,1894,2,4,Gd,2,510,1,817,214900
RL,NridgHt,93.0,12030,8,5,2007,2007,1694,2,3,Gd,3,818,0,1694,318000
RL,NAmes,70.0,10500,4,6,1971,1971,864,1,2,TA,2,576,0,864,97000
RM,Edwards,24.0,2522,6,5,2004,2006,1709,2,3,Gd,2,380,0,970,130000
RL,NAmes,,12513,4,4,1920,2007,1738,2,4,TA,1,368,1,715,104900
RL,NAmes,79.0,10634,5,6,1953,1953,1319,1,3,TA,1,270,0,608,123000
RL,SawyerW,90.0,12376,7,5,1990,1990,3222,3,5,Gd,3,594,2,1673,320000
RM,IDOTRR,60.0,6882,6,7,1914,2006,1355,1,3,Gd,0,0,0,684,127000
RL,BrkSide,55.0,5350,3,2,1940,1966,1306,1,3,Fa,0,0,0,728,76500
RL,CollgCr,70.0,8445,5,7,1972,2007,768,1,2,TA,2,396,0,768,133000
RL,BrkSide,50.0,7420,5,6,1939,1950,1077,1,2,TA,1,205,2,991,118000
RM,OldTown,50.0,6000,3,7,1948,2002,1183,1,2,TA,1,308,0,649,120000
RL,Gilbert,65.0,9018,7,5,2007,2007,1456,2,3,Gd,2,400,1,728,179540
RL,Gilbert,66.0,8738,7,5,1999,1999,2291,2,4,Gd,2,429,1,975,230000
RM,CollgCr,,4435,6,5,2003,2003,848,1,1,Gd,2,420,0,848,140000
RL,NridgHt,96.0,12474,10,5,2007,2008,2332,2,3,Ex,3,846,1,1682,426000
RM,BrkSide,50.0,6000,5,8,1925,1997,1348,1,3,TA,1,216,1,884,117000
RL,Edwards,120.0,13728,6,7,1935,1986,2108,2,4,Gd,2,540,2,1127,235000
C (all),IDOTRR,60.0,11040,4,6,1920,1950,1336,1,3,TA,1,570,0,637,108000
RL,Edwards,313.0,63887,10,5,2008,2008,5642,2,3,Ex,2,1418,3,6110,160000
RL,NAmes,,9503,5,5,1958,1983,1344,1,2,TA,1,484,1,1024,144000
FV,Somerst,75.0,8004,8,5,2009,2009,1935,2,3,TA,2,552,0,832,263435
RL,Edwards,60.0,8172,4,6,1954,1972,1470,2,4,TA,1,548,0,941,135000
RL,NWAmes,,20781,7,7,1968,2003,2156,2,3,TA,2,508,1,1568,262500
RM,Sawyer,70.0,9100,5,5,1963,1963,1728,2,6,TA,2,504,0,1728,125000
FV,Somerst,75.0,9803,7,5,2005,2005,1768,2,3,Gd,2,603,0,866,226700
RL,NAmes,72.0,10152,5,5,1956,1956,1048,1,3,TA,1,286,0,1048,135000
RL,CollgCr,65.0,9313,7,5,2004,2004,1728,2,3,Gd,2,572,0,864,190000
RM,OldTown,50.0,5250,8,5,1872,1987,2358,2,4,TA,0,0,0,684,122000
RL,Timber,73.0,9590,7,5,2003,2003,1146,2,3,Gd,2,438,1,868,187500
RL,CollgCr,,11423,8,5,2001,2002,1601,2,3,Gd,2,670,1,1581,272000
RL,Sawyer,,13650,5,5,1958,1958,1920,2,4,Gd,2,451,1,1052,172500
RM,OldTown,60.0,7740,4,7,1910,1950,1363,1,3,TA,2,528,0,622,125500
RL,Edwards,57.0,6420,5,7,1952,1952,1148,1,2,TA,1,308,0,980,123500
RL,CollgCr,64.0,6762,7,5,2006,2006,1294,2,2,Gd,2,662,1,1286,193879
RM,OldTown,52.0,9439,5,5,1930,1950,1248,1,2,TA,1,160,0,912,87000
RL,Gilbert,,7750,8,5,2002,2002,1419,2,3,Gd,2,527,1,408,184100
RL,NWAmes,,12546,6,7,1981,1981,1440,2,3,Gd,2,467,1,1440,182900
RL,Mitchel,90.0,17217,5,5,2006,2006,1140,1,3,TA,0,0,0,1140,84500
RL,NWAmes,,10382,7,6,1973,1973,2090,2,3,TA,2,484,2,1107,200000
RL,CollgCr,72.0,7226,7,5,2003,2003,1640,2,3,Gd,2,595,0,798,183000
RL,SawyerW,65.0,8125,6,5,1994,1998,1679,2,3,Gd,2,575,1,1408,193500
RM,BrkSide,60.0,6000,6,6,1941,1950,1218,1,3,TA,2,440,1,735,131000
RM,MeadowV,44.0,4224,5,5,1976,1976,1142,1,3,TA,2,528,1,1142,134000
RL,Mitchel,,9101,5,6,1978,1978,1110,1,1,Gd,2,602,1,1097,165500
RL,Edwards,68.0,10880,5,5,1950,1950,1164,1,3,TA,1,240,0,1164,125000
RM,IDOTRR,60.0,6402,5,5,1920,1950,1192,1,3,TA,1,189,0,596,78000
RL,CollgCr,63.0,8500,7,5,2004,2004,1422,2,3,Gd,2,626,0,1422,179600
RL,Sawyer,57.0,9764,5,7,1967,2003,894,1,3,Gd,2,450,0,894,130000
FV,Somerst,85.0,10574,8,5,2005,2006,1953,2,3,Gd,3,1043,1,1082,252000
RL,CollgCr,80.0,12435,7,5,2001,2001,1792,2,3,Gd,2,564,1,963,231500
RL,Edwards,60.0,12180,4,4,1941,1950,924,1,2,Fa,1,280,0,672,80000
RL,SawyerW,50.0,7175,6,5,1984,1984,752,1,2,TA,1,264,0,744,125000
RL,Crawfor,75.0,13125,7,6,1940,1984,1740,1,3,TA,1,240,2,800,219500
RL,Gilbert,,9636,6,5,1992,1993,1593,2,3,TA,2,389,1,808,178000
RL,NAmes,71.0,8520,5,4,1952,1952,1385,2,4,TA,2,720,0,910,166000
FV,Somerst,62.0,7500,7,5,2005,2005,1266,2,3,Gd,2,453,1,1257,176000
RL,Gilbert,168.0,23257,7,5,2006,2006,2021,2,3,Gd,2,422,1,868,274725
RL,NWAmes,80.0,9650,6,5,1977,1977,1334,2,2,TA,2,630,1,1350,167900
FV,Somerst,24.0,2160,7,5,1999,2000,1252,2,2,Gd,2,462,0,600,160000
RM,OldTown,60.0,8520,6,7,1916,1950,2526,2,5,Gd,1,216,1,714,136000
RL,NridgHt,105.0,15431,10,5,2008,2008,2402,2,2,Ex,3,672,2,3094,555000
RM,BrkSide,60.0,6155,6,8,1920,1999,1362,2,3,TA,2,502,0,611,128000
RL,NoRidge,118.0,35760,10,5,1995,1996,3627,3,4,Gd,3,807,1,1930,625000
RL,NoRidge,82.0,9950,7,5,1995,1995,2520,2,4,Gd,3,721,1,1203,290000
RL,Edwards,74.0,10206,3,3,1952,1952,944,1,2,Fa,2,528,0,0,82000
RL,Sawyer,70.0,8521,5,5,1967,1967,912,1,3,TA,1,336,1,912,125000
FV,Somerst,65.0,8125,7,5,2005,2006,1553,2,3,Gd,2,615,0,756,186500
RL,Edwards,75.0,10215,4,5,1954,1954,948,1,3,TA,1,248,0,864,111000
FV,Somerst,72.0,8640,7,5,2009,2009,1852,2,3,Gd,2,644,1,900,252678
RM,OldTown,60.0,10440,5,6,1910,1981,1230,1,2,TA,2,440,0,440,110000
RL,SawyerW,63.0,7500,7,5,2004,2005,1080,1,3,Gd,0,0,0,1080,141000
RL,Edwards,45.0,8248,5,7,1918,1950,1250,1,3,Fa,1,280,0,686,116000
RL,NAmes,80.0,9760,6,6,1964,1964,1611,1,4,TA,2,442,0,780,167900
RL,SawyerW,80.0,9938,7,5,1993,1994,1949,2,3,Gd,2,574,1,1050,236000
RH,Edwards,54.0,6629,6,6,1925,1950,1369,2,3,TA,1,300,0,672,103600
RL,Gilbert,,9125,7,5,1992,1992,1482,2,3,Gd,2,392,1,384,163900
RM,BrkSide,58.0,6380,5,6,1922,1950,1048,1,2,TA,1,280,1,993,113000
FV,Somerst,72.0,8640,7,5,2007,2008,1372,2,3,Gd,2,529,0,1372,250580
RL,Timber,,6853,8,5,2001,2002,1296,2,2,Gd,2,471,0,1267,220000
RL,CollgCr,65.0,8775,5,5,1994,1994,990,1,3,TA,1,299,0,990,126000
RL,SWISU,60.0,9900,6,7,1940,1950,1489,2,3,TA,1,240,1,778,139500
RL,NridgHt,109.0,14154,7,5,2006,2006,2172,2,3,Gd,3,947,1,1063,280000
RL,Blmngtn,43.0,3182,7,5,2007,2007,1266,2,2,Gd,2,388,1,1266,159895
FV,Somerst,75.0,7862,6,5,2009,2009,1218,2,2,Gd,2,676,0,1218,208300
RL,NAmes,57.0,8280,6,5,1950,1950,932,1,2,Gd,1,306,1,932,124000
RL,NPkVill,24.0,2308,6,5,1974,1974,1322,2,3,TA,2,440,1,855,147000
RM,OldTown,59.0,5310,6,8,1910,2003,1635,1,2,Gd,1,255,0,485,117000
RL,NAmes,,17600,6,5,1960,1960,1478,2,3,TA,2,498,2,1478,157500
RL,Edwards,58.0,8410,5,3,1910,1996,1184,1,5,TA,0,0,0,658,81000
RL,CollgCr,65.0,8450,7,5,2003,2003,1710,2,3,Gd,2,548,0,856,208500
RL,Mitchel,,7540,6,6,1978,1978,912,1,2,TA,2,470,1,888,156000
RL,ClearCr,,28698,5,5,1967,1967,2126,2,3,TA,2,538,0,1013,185000
RL,Timber,73.0,9735,5,5,2006,2007,1394,2,3,Gd,2,400,0,384,167500
RL,Sawyer,80.0,8480,5,6,1963,1963,970,1,2,TA,2,624,0,970,132500
RL,Mitchel,,12328,6,5,1976,1976,1034,1,3,TA,3,888,0,1012,169900
RL,CollgCr,89.0,11645,7,5,2004,2004,1720,2,3,Gd,2,565,0,860,196500
RM,OldTown,50.0,6000,5,4,1954,1954,1387,2,3,Gd,1,256,0,811,93000
RL,Edwards,124.0,11512,6,7,1959,2006,1357,1,2,Ex,1,312,1,1019,177000
RL,NAmes,73.0,9300,5,5,1960,1960,1264,1,3,TA,2,461,2,1268,167500
RL,Gilbert,149.0,12589,6,5,2005,2005,1484,2,3,Gd,2,390,1,742,174000
RL,StoneBr,44.0,5306,7,7,1987,1987,1767,2,2,Gd,2,504,1,1064,239000
RM,OldTown,70.0,5684,6,8,1930,2005,813,1,2,Gd,1,270,0,813,110000
RM,IDOTRR,60.0,6780,6,8,1935,1982,754,1,2,TA,0,0,0,520,84500
RL,NAmes,313.0,27650,7,7,1960,2007,2069,2,4,Gd,2,505,1,585,242000
RL,Timber,85.0,10200,6,5,1988,1989,1509,2,3,Gd,2,600,1,1461,175000
RL,Gilbert,65.0,8125,6,5,1994,1995,1481,2,3,TA,2,343,1,702,174000
RL,BrkSide,60.0,9873,4,5,1970,1970,960,1,3,TA,2,576,0,960,129000
RL,NAmes,60.0,7200,4,5,1950,1950,1040,1,2,TA,2,420,0,0,109900
RL,NAmes,60.0,7200,4,5,1949,1950,1040,2,2,TA,2,420,0,0,90000
RL,Crawfor,54.0,7588,7,6,1920,1950,1802,1,4,TA,1,216,1,793,200100
